ID,任务,依赖,责任文件,状态,实际修改文件,测试命令和退出码,截图证据,测量证据,阻塞原因,V2.1新增要求
T10,Canvas dock统一单色工具图标,T05,web/src/app/(user)/canvas/components/canvas-toolbar.tsx;web/src/app/(user)/canvas/components/canvas-page-elements.tsx;web/src/app/styles/global-product-design.css,PASS,web/src/app/(user)/canvas/components/canvas-toolbar.tsx;web/src/app/(user)/canvas/components/canvas-node-hover-toolbar.tsx;web/src/app/(user)/canvas/components/canvas-page-elements.tsx;web/src/app/styles/global-product-design.css,pnpm vitest canvas-toolbar-single-active（退出码0）；ui-rebuild 15/15（退出码0）；Canvas点阵/节点工具栏专项4/4（退出码0）,after-v21-canvas-light 1280/390/430 screenshots；after-followup-canvas-image-toolbar-light/dark-1440-selected-150,,图片/视频/音频dock均为Lucide SVG且无PNG插画混入；单选图片节点显示顶部节点工具栏且通用dock为0；CanvasRefreshShell不再渲染固定点阵,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T11,Canvas紧凑/整行生成按钮与裁切,"T06,T10",web/src/app/(user)/canvas/components/canvas-node-prompt-panel.tsx;web/src/app/(user)/canvas/components/canvas-config-node-panel.tsx;web/src/app/(user)/canvas/components/canvas-config-composer.tsx;web/src/app/(user)/canvas/components/canvas-interior-design-node-panel.tsx;web/src/app/(user)/canvas/components/canvas-node-angle-dialog.tsx;web/src/app/(user)/canvas/components/canvas-node-upscale-dialog.tsx;web/src/app/(user)/canvas/components/canvas-node-mask-edit-dialog.tsx;web/src/app/(user)/canvas/components/canvas-storyboard-dialog.tsx,PASS,web/src/app/(user)/canvas/components/canvas-node-prompt-panel.tsx;web/src/app/(user)/canvas/components/canvas-interior-design-node-panel.tsx;web/src/app/styles/global-generation-actions.css,pnpm vitest Canvas面板目标测试（退出码0）；ui-rebuild 15/15（退出码0）；responsive 19+35（退出码0）,after-v21-canvas-light 1280/390/430 screenshots 与测量JSON；after-followup-canvas-image-toolbar-light/dark-1440-selected-150,,底栏改为h-14 box-border overflow-visible；compact按钮40px，standard按钮44px；B01不再cover裁切,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T12,Canvas媒体外缘选中框,"T01,T05",web/src/app/(user)/canvas/components/canvas-node.tsx;web/src/app/(user)/canvas/components/canvas-node-content.tsx;web/src/lib/canvas-theme.ts;web/src/app/(user)/canvas/components/canvas-node.test.tsx,PASS,web/src/app/(user)/canvas/components/canvas-node.tsx;web/src/app/styles/global-canvas-overrides.css;web/src/lib/canvas-theme.ts;web/src/app/(user)/canvas/components/canvas-node.test.tsx,pnpm vitest canvas-node/canvas-theme（退出码0）；ui-rebuild 15/15（退出码0）,after-v21-canvas-measurements chromium/390/430：flow/media均340×240，四边差0px，border2px,,选择框与媒体壳外缘已对齐；仍需更高缩放/横竖真实媒体数据复核,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T13,8项专项对照复核,"T04,T08,T09,T10,T11,T12",web/e2e/canvas.spec.ts;web/e2e/home.spec.ts;docs/ui-rebuild-20260913/evidence/,PASS,web/src/app/(user)/canvas/components/canvas-surface.tsx;web/e2e/canvas.spec.ts;web/e2e/creative-video-result.spec.ts,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；完整隔离 E2E 201 通过/17 跳过（218 条，含 3 个 setup，退出码0）；Canvas 专项 20/20、视频结果 12 通过/1 跳过,evidence/after-canvas-suite-final-20260915.log;evidence/after-creative-video-suite-final-20260915.log;evidence/after-full-e2e-live-finaldb-20260915.log;evidence/after-v21-canvas-light-chromium.png,Canvas 空格平移 backgroundPosition、源节点拖动 PATCH、节点工具栏和 390/430 配置测量均有 JSON；当前构建矩阵另见 T22,8项专项已通过；全站状态矩阵由T22继续收口,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T14,全局品牌入口与认证静态页,"T04,T05",web/src/components/layout/;web/src/app/login/;web/src/app/register/;web/src/app/forgot-password/;web/src/app/install/;web/src/app/announcements/;web/src/app/privacy/;web/src/app/terms/;web/src/app/not-found.tsx;web/src/app/global-error.tsx;web/src/app/(user)/error.tsx,IN_PROGRESS,web/src/components/layout/;web/src/app/login/;web/src/app/register/;web/src/app/forgot-password/;web/src/app/install/;web/src/app/announcements/;web/src/app/privacy/;web/src/app/terms/;web/src/app/not-found.tsx;web/src/app/global-error.tsx;web/src/app/(user)/error.tsx;web/e2e/static-brand-visual.spec.ts;web/e2e/user-pages-matrix.spec.ts;docs/ui-rebuild-20260913/视口主题验收.csv;docs/ui-rebuild-20260913/页面验收矩阵.csv,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；static-brand-visual 9/9 通过（chromium、390px、430px，退出码0）；完整隔离 E2E 201通过/17跳过（218条）,evidence/after-static-brand-current-build-20260915.log;evidence/user-pages-matrix/;evidence/after-full-e2e-live-finaldb-20260915.log,静态品牌与认证 9 个状态单元已按当前构建归档；用户/公共默认矩阵434个 JSON 全部为 9sMLb0KxOZx3vl8L7_ez-，含标题/主题/视口/overflow；加载/失败逐入口仍缺,动态错误边界与每个静态入口加载/失败状态仍未逐入口归档，保留IN_PROGRESS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T15,内容库与个人账户全覆盖,T05,web/src/app/(user)/assets/page.tsx;web/src/app/(user)/prompts/page.tsx;web/src/components/my-prompts/my-prompts-page.tsx;web/src/app/(user)/works/page.tsx;web/src/app/(user)/community/page.tsx;web/src/app/(user)/me/page.tsx;web/src/app/(user)/profile/page.tsx;web/src/app/(user)/help/page.tsx;web/src/app/u/[username]/page.tsx;web/src/app/share/[slug]/page.tsx;web/src/app/(user)/billing/,IN_PROGRESS,web/src/app/(user)/assets/page.tsx;web/e2e/content-account-visual.spec.ts,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；content-account-visual Chromium 1/1、390px与430px 2/2，15/15通过，退出码0；真实隔离 PostgreSQL,evidence/after-content-account-current-postgres-20260915.log;evidence/after-content-library-pagination-page-1-chromium.png;evidence/after-content-library-pagination-page-2-chromium.png;evidence/after-my-prompts-state-e2e-20260915-rerun4.log;evidence/after-my-prompts-state-mobile-e2e-20260915.log,素材分页/PATCH/DELETE/加载/503错误及我的提示词 CRUD/加载/失败均有当前构建 JSON；账户/内容其他入口未逐一覆盖,全部账户/内容入口的编辑、删除、分页空态、请求失败和加载态仍未逐入口归档，保留IN_PROGRESS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T16,短剧完整生产与生成图标,"T06,T11",web/src/app/(user)/drama/;web/src/app/(user)/drama/[id]/drama-project-sections.tsx;web/src/app/(user)/drama/[id]/drama-generation-panel.tsx;web/src/app/(user)/drama/[id]/drama-asset-editor-drawer.tsx;web/src/app/(user)/drama/[id]/drama-review-panel.tsx;web/src/app/(user)/drama/[id]/drama-scene-structure.tsx,IN_PROGRESS,web/src/lib/server/ffmpeg.ts;web/src/app/api/drama/render/route.ts;web/src/lib/server/drama-render-store.ts;web/src/lib/server/drama-project-service.ts;web/src/app/(user)/drama/[id]/drama-generation-panel.tsx;web/e2e/drama-visual.spec.ts,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；drama-visual Chromium、390px、430px 6/6通过，退出码0；使用数据库已配置的隔离 protocol fixture 端口,evidence/after-drama-current-postgres-configured-20260915.log;evidence/after-drama-render-success-dark-*;evidence/after-full-e2e-live-finaldb-20260915.log,阶段/项目资产、失败镜头单镜头重试、音频完成、整集合成下载及浅深主题 390/430 JSON 已保存；服务端持久化稳定ID可追踪,完整审核/分镜/镜头生成任务矩阵及项目级资产全链路仍未由本地fixture逐项覆盖，保留IN_PROGRESS；真实外部音频/合成属于T19授权范围,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T17,后台模板与品牌设置验证,"T04,T05",web/src/components/admin/admin-dashboard.tsx;web/src/components/admin/admin-section-nav.tsx;web/src/components/admin/admin-site-preview.tsx;web/src/app/styles/global-admin-theme.css;web/src/app/styles/global-admin-responsive.css;web/src/lib/app-theme.ts,IN_PROGRESS,web/src/components/admin/admin-dashboard.tsx;web/src/components/admin/admin-section-nav.tsx;web/src/components/admin/admin-site-preview.tsx;web/e2e/admin-brand-visual.spec.ts;web/e2e/admin-sections-matrix.spec.ts;web/e2e/admin-entry-matrix.spec.ts;web/src/app/styles/global-admin-theme.css;web/src/app/styles/global-admin-responsive.css;docs/ui-rebuild-20260913/后台设计素材映射.csv,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；后台品牌/商业 4/4、分区矩阵1/1、入口矩阵1/1通过，完整隔离 E2E 201通过/17跳过（218条）,evidence/after-admin-brand-commerce-current-postgres-20260915.log;evidence/after-admin-sections-current-20260915.log;evidence/after-admin-entry-current-20260915.log;evidence/admin-sections-matrix/;evidence/admin-entry-matrix/,后台分区504 + 入口56默认 JSON 全部为 9sMLb0KxOZx3vl8L7_ez-，含标题/主题/视口/overflow；品牌无效回退和代表模板已留图,36分区有效/空/错误/弹层/保存刷新状态仍未逐项完成，保留IN_PROGRESS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T18,后台经营商品财务分区逐项落实,T17,web/src/components/admin/;web/src/app/admin/billing/;web/src/app/admin/generation-operations/,IN_PROGRESS,web/src/components/admin/;web/src/app/admin/billing/;web/src/app/admin/generation-operations/;web/e2e/admin-commerce-visual.spec.ts;web/e2e/admin-sections-matrix.spec.ts;web/e2e/admin-entry-matrix.spec.ts,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；admin-commerce-visual Chromium 4/4通过，退出码0；真实隔离 PostgreSQL；矩阵单元与完整E2E另行通过,evidence/after-admin-brand-commerce-current-postgres-20260915.log;evidence/after-admin-commerce-products-*.png;evidence/after-admin-commerce-orders-*.png;evidence/after-admin-commerce-promotions-*.png;evidence/after-admin-commerce-coupons-*.png;evidence/after-admin-commerce-payments-*.png,商品/订单/促销/优惠券/支付/退款/对账代表流程含保存/API/刷新证据；后台默认560个 JSON 全部为 9sMLb0KxOZx3vl8L7_ez-,36个后台分区业务四状态仍未齐全，不能以默认矩阵代替，保留IN_PROGRESS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T19,后台上游系统内容分区逐项落实,T17,web/src/components/admin/;web/src/app/admin/;web/src/components/admin/admin-local-media-storage.tsx,BLOCKED,web/src/components/admin/admin-section-nav.tsx;web/src/app/admin/generation-operations/;web/e2e/admin-sections-matrix.spec.ts;docs/ui-rebuild-20260913/evidence/,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；T19外部阻塞审计生成；未调用真实付费上游；未授权错误态可读,evidence/after-t19-external-blocker-audit-20260915.json;evidence/after-full-e2e-live-finaldb-20260915.log,外部运行时/配置布尔检查、隔离对象存储完整配置检查和端口可达性均已记录，不输出密钥,真实 GeminiAI、代理、外部存储、备份和上游账号需要外部授权、运行时、控制密钥/订阅文件、可达端口和完整对象存储配置；当前不具备，按规则BLOCKED,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T20,命名、文案、元数据与文档站复核,"T04,T14,T15,T16,T18,T19",web/src/lib/page-titles.ts;web/src/lib/page-titles.test.ts;web/src/lib/site-brand.ts;web/src/app/layout.tsx;web/src/app/manifest.ts;web/src/lib/server/site-metadata.ts;docs/src/;docs/public/;README.md;package.json;Dockerfile;docker-compose.yml;.github/workflows/,PASS,web/src/lib/page-titles.ts;web/src/lib/page-titles.test.ts;web/src/app/layout.tsx;web/src/app/manifest.ts;docs/src/;docs/tsconfig.json;README.md;docker-compose*.yml;package.json;Dockerfile;docs/ui-rebuild-20260913/evidence/rename-scan-20260914.txt,page-titles Vitest、active name scan、Docs types/build、当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez- build 均退出码0,evidence/after-docs-types-final-20260915.log;evidence/after-docs-build-final-20260915.log;evidence/after-docs-visual-final-20260915.log;evidence/rename-scan-20260914.txt,70页面标题/主要标题与 manifest/logo/icon 探针；当前源码侧品牌复核完成,Git远端、镜像Registry和线上资源未执行外部改名/发布，源码侧复核PASS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T21,将关键验收写成真实回归测试,T13,web/e2e/ui-rebuild.spec.ts（新增）;web/playwright.config.ts;web/e2e/support.ts;web/src/components/generation-action-button.test.ts;web/src/components/layout/site-logo.test.tsx;web/src/lib/canvas-theme.test.ts,PASS,web/e2e/ui-rebuild.spec.ts（新增）;web/e2e/admin-commerce-visual.spec.ts（新增）;web/playwright.config.ts;web/e2e/support.ts;web/src/components/generation-action-button.test.ts;web/src/app/(user)/canvas/components/canvas-node.test.tsx;web/src/lib/canvas-theme.test.ts；web/e2e/ui-rebuild.spec.ts（新增静态页标题/Logo/输入对比测量）；web/e2e/admin-commerce-visual.spec.ts（新增44个后台实体/配置单元）；web/e2e/content-account-visual.spec.ts（新增内容库/作品/分享真实实体）；web/e2e/drama-visual.spec.ts（新增短剧五状态实体）,Playwright --list退出码0：215 tests/17 files（主三浏览器项目）；完整隔离E2E退出码0：201通过/17跳过（218条，含3个setup）,evidence/after-playwright-list-popover-prompts-20260915.log;evidence/after-full-e2e-live-finaldb-20260915.log;evidence/after-matrix-current-build-final-20260915.log,新增 ui-rebuild、内容/短剧/矩阵 spec 均被发现并执行；Canvas点阵/拖动、内容状态和矩阵均有真实截图/JSON,关键自动化已通过；完整业务状态矩阵与外部依赖仍由T22/T19保留,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T22,全视口主题与状态矩阵完成,"T14,T15,T16,T18,T19,T20,T21",web/e2e/ui-rebuild.spec.ts（新增）;web/e2e/responsive.spec.ts;docs/ui-rebuild-20260913/视口主题验收.csv,IN_PROGRESS,web/e2e/user-pages-matrix.spec.ts;web/e2e/admin-sections-matrix.spec.ts;web/e2e/admin-entry-matrix.spec.ts;web/e2e/static-brand-visual.spec.ts;web/e2e/admin-brand-visual.spec.ts;docs/ui-rebuild-20260913/视口主题验收.csv;docs/ui-rebuild-20260913/页面验收矩阵.csv,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；矩阵专跑6/6通过；ui-rebuild 24通过；Playwright --list 218 tests/18 files，退出码0,evidence/after-matrix-current-build-final-20260915.log;evidence/after-ui-rebuild-current-20260915.log;evidence/user-pages-matrix/;evidence/admin-sections-matrix/;evidence/admin-entry-matrix/,用户/公共434 + 后台分区504 + 后台入口56，共994个默认 JSON 全为 9sMLb0KxOZx3vl8L7_ez-，均含 route/theme/viewport/state/zoom/overflow,有效/加载/失败/弹层/保存状态仍未逐格完成；T19外部依赖BLOCKED，保留IN_PROGRESS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T23,完整质量与运行门禁,T22,web/package.json;web/scripts/release-check.mjs;docs/package.json,IN_PROGRESS,web/playwright.config.ts;web/e2e/static-brand-visual.spec.ts;web/e2e/admin-brand-visual.spec.ts;web/e2e/admin-entry-matrix.spec.ts;web/e2e/admin-sections-matrix.spec.ts;web/e2e/user-pages-matrix.spec.ts;web/e2e/drama-visual.spec.ts;docs/ui-rebuild-20260913/evidence/,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；check:release退出码0；631文件通过/4跳过、3105通过/10跳过；build/typecheck/lint/format/audit/Docs均0；full E2E 201通过/17跳过（218条）；ui-rebuild 24通过,evidence/after-release-followup-20260915.log;evidence/after-playwright-list-current-20260915.log;evidence/after-full-e2e-live-finaldb-20260915.log;evidence/after-standalone-health-final-20260915.log,/api/health、live、ready和品牌资源HTTP 200；当前构建 9sMLb0KxOZx3vl8L7_ez-；T22状态矩阵未逐格完成,质量门禁与生产运行检查已通过，但T22未完成；T19外部sidecar/真实账号未授权，保留IN_PROGRESS,V2.1 C01全站配色与B01生成按钮；当前证据按 9sMLb0KxOZx3vl8L7_ez- 记录，未完成范围保持明确
T24,只打包本次实际修改与资源闭包,T23,本次修改需上传文件_20260915/;本次构建产物_20260915/,PASS,本次修改需上传文件_20260915/；本次构建产物_20260915/；docs/ui-rebuild-20260913/evidence/after-package-manifest-final-20260915.json,node /tmp/build-dreamyo-packages-20260915.mjs退出码0；本轮删除同名旧目录后重建源码/构建包，SHA256、UTF-8和资源闭包校验通过,evidence/after-package-build-followup-20260915.log;evidence/after-package-manifest-final-20260915.json,源码包2996业务文件/2998总文件/2997哈希/387581777字节；构建包6073业务文件/6075总文件/6074哈希/176551683字节；hashMismatches=0、invalidUtf8=0、closureComplete=true,未执行线上部署；源码包需服务器重新build/start，构建包为当前standalone闭包,V2.1 C01全站配色与B01生成按钮；源码包/构建包按本次 content-state manifest
T25,交付与对旧结论纠正,T24,docs/ui-rebuild-20260913/交付报告.md;docs/ui-rebuild-20260913/任务状态.csv,PASS,docs/ui-rebuild-20260913/交付报告.md;docs/ui-rebuild-20260913/任务状态.csv;docs/ui-rebuild-20260913/README.md;docs/ui-rebuild-20260913/页面验收矩阵.csv;docs/ui-rebuild-20260913/视口主题验收.csv;docs/ui-rebuild-20260913/06-配色参考与应用矩阵.md;docs/ui-rebuild-20260913/配色令牌计划.json;docs/ui-rebuild-20260913/evidence/after-plan-audit-content-state-final-20260915.json,部署包、health、diff、Docs和质量门禁汇总完成；保留未完成与BLOCKED项，不宣称T00-T25全部完成,docs/ui-rebuild-20260913/交付报告.md;docs/ui-rebuild-20260913/README.md;evidence/after-plan-audit-content-state-final-20260915.json;evidence/after-matrix-current-build-final-20260915.log;evidence/after-standalone-health-final-20260915.log,当前执行日buildId=9sMLb0KxOZx3vl8L7_ez-；994矩阵JSON全部使用当前构建；完整E2E 201通过/17跳过（218条，含3个setup）,T14-T19、T22、T23仍有未完成或BLOCKED范围，报告已逐项列出；未执行Git push、镜像推送或线上部署,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17；本次执行日保留未完成与阻塞项，不宣称 T00-T25 全部完成
CURRENT-20260915,最终增量证据索引,,,IN_PROGRESS,docs/ui-rebuild-20260913/evidence/;web/src/app/home/home-agent-hero.module.css;web/e2e/home.spec.ts;web/e2e/all-pages.spec.ts;web/e2e/core.spec.ts,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；完整E2E退出码0：201通过/17跳过（218条；含3个setup检查）,evidence/after-full-e2e-live-finaldb-20260915.log;evidence/after-matrix-current-build-final-20260915.log;evidence/after-standalone-health-final-20260915.log,994默认矩阵当前构建：用户/公共434、后台分区504、后台入口56；当前BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；T14-T18、T22、T23仍逐状态工作，T19 BLOCKED,不宣称T00-T25全部完成,当前执行证据索引；不宣称T00-T25全部完成
CURRENT-20260915-FINAL,最终增量证据索引,,,IN_PROGRESS,docs/ui-rebuild-20260913/evidence/;web/src/app/home/home-agent-hero.module.css;web/e2e/home.spec.ts;web/e2e/all-pages.spec.ts;web/e2e/core.spec.ts,当前 BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；完整E2E退出码0：201通过/17跳过（218条；含3个setup检查）,evidence/after-full-e2e-live-finaldb-20260915.log;evidence/after-matrix-current-build-final-20260915.log;evidence/after-standalone-health-final-20260915.log,994默认矩阵当前构建：用户/公共434、后台分区504、后台入口56；当前BUILD_ID=9sMLb0KxOZx3vl8L7_ez-；T14-T18、T22、T23仍逐状态工作，T19 BLOCKED,不宣称T00-T25全部完成,当前执行证据索引；不宣称T00-T25全部完成
