case_id,页面ID,路径,主题,宽,高,实际视口,实际状态,截图,测量JSON,日志,状态,原因,配色依据,配色验收A17,配色证据
R01-dark-1024,R01,/assets,dark,1024,768,1024x768,默认已登录,evidence/user-pages-matrix/R01-assets-dark-1024x768.png,evidence/user-pages-matrix/R01-assets-dark-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-dark-768,R01,/assets,dark,768,1024,768x1024,默认已登录,evidence/user-pages-matrix/R01-assets-dark-768x1024.png,evidence/user-pages-matrix/R01-assets-dark-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-dark-390,R01,/assets,dark,390,844,390x844,默认已登录,evidence/user-pages-matrix/R01-assets-dark-390x844.png,evidence/user-pages-matrix/R01-assets-dark-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-dark-430,R01,/assets,dark,430,932,430x932,默认已登录,evidence/user-pages-matrix/R01-assets-dark-430x932.png,evidence/user-pages-matrix/R01-assets-dark-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-1672,R02,/billing/cancel,light,1672,941,1672x941,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-1672x941.png,evidence/user-pages-matrix/R02-billing-cancel-light-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-1440,R02,/billing/cancel,light,1440,900,1440x900,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-1440x900.png,evidence/user-pages-matrix/R02-billing-cancel-light-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-1366,R02,/billing/cancel,light,1366,768,1366x768,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-1366x768.png,evidence/user-pages-matrix/R02-billing-cancel-light-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-1024,R02,/billing/cancel,light,1024,768,1024x768,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-1024x768.png,evidence/user-pages-matrix/R02-billing-cancel-light-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-768,R02,/billing/cancel,light,768,1024,768x1024,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-768x1024.png,evidence/user-pages-matrix/R02-billing-cancel-light-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-390,R02,/billing/cancel,light,390,844,390x844,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-390x844.png,evidence/user-pages-matrix/R02-billing-cancel-light-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-light-430,R02,/billing/cancel,light,430,932,430x932,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-light-430x932.png,evidence/user-pages-matrix/R02-billing-cancel-light-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-1672,R02,/billing/cancel,dark,1672,941,1672x941,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-1672x941.png,evidence/user-pages-matrix/R02-billing-cancel-dark-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-1440,R02,/billing/cancel,dark,1440,900,1440x900,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-1440x900.png,evidence/user-pages-matrix/R02-billing-cancel-dark-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-1366,R02,/billing/cancel,dark,1366,768,1366x768,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-1366x768.png,evidence/user-pages-matrix/R02-billing-cancel-dark-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-1024,R02,/billing/cancel,dark,1024,768,1024x768,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-1024x768.png,evidence/user-pages-matrix/R02-billing-cancel-dark-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-768,R02,/billing/cancel,dark,768,1024,768x1024,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-768x1024.png,evidence/user-pages-matrix/R02-billing-cancel-dark-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-390,R02,/billing/cancel,dark,390,844,390x844,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-390x844.png,evidence/user-pages-matrix/R02-billing-cancel-dark-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R02-dark-430,R02,/billing/cancel,dark,430,932,430x932,无订单参数,evidence/user-pages-matrix/R02-billing-cancel-dark-430x932.png,evidence/user-pages-matrix/R02-billing-cancel-dark-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-1672,R03,/billing/checkout,light,1672,941,1672x941,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-1672x941.png,evidence/user-pages-matrix/R03-billing-checkout-light-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-1440,R03,/billing/checkout,light,1440,900,1440x900,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-1440x900.png,evidence/user-pages-matrix/R03-billing-checkout-light-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-1366,R03,/billing/checkout,light,1366,768,1366x768,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-1366x768.png,evidence/user-pages-matrix/R03-billing-checkout-light-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-1024,R03,/billing/checkout,light,1024,768,1024x768,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-1024x768.png,evidence/user-pages-matrix/R03-billing-checkout-light-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-768,R03,/billing/checkout,light,768,1024,768x1024,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-768x1024.png,evidence/user-pages-matrix/R03-billing-checkout-light-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-390,R03,/billing/checkout,light,390,844,390x844,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-390x844.png,evidence/user-pages-matrix/R03-billing-checkout-light-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-light-430,R03,/billing/checkout,light,430,932,430x932,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-light-430x932.png,evidence/user-pages-matrix/R03-billing-checkout-light-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-1672,R03,/billing/checkout,dark,1672,941,1672x941,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-1672x941.png,evidence/user-pages-matrix/R03-billing-checkout-dark-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-1440,R03,/billing/checkout,dark,1440,900,1440x900,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-1440x900.png,evidence/user-pages-matrix/R03-billing-checkout-dark-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-1366,R03,/billing/checkout,dark,1366,768,1366x768,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-1366x768.png,evidence/user-pages-matrix/R03-billing-checkout-dark-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-1024,R03,/billing/checkout,dark,1024,768,1024x768,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-1024x768.png,evidence/user-pages-matrix/R03-billing-checkout-dark-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-768,R03,/billing/checkout,dark,768,1024,768x1024,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-768x1024.png,evidence/user-pages-matrix/R03-billing-checkout-dark-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-390,R03,/billing/checkout,dark,390,844,390x844,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-390x844.png,evidence/user-pages-matrix/R03-billing-checkout-dark-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R03-dark-430,R03,/billing/checkout,dark,430,932,430x932,无套餐参数,evidence/user-pages-matrix/R03-billing-checkout-dark-430x932.png,evidence/user-pages-matrix/R03-billing-checkout-dark-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-1672,R04,/billing,light,1672,941,1672x941,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-1672x941.png,evidence/user-pages-matrix/R04-billing-light-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-1440,R04,/billing,light,1440,900,1440x900,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-1440x900.png,evidence/user-pages-matrix/R04-billing-light-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-1366,R04,/billing,light,1366,768,1366x768,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-1366x768.png,evidence/user-pages-matrix/R04-billing-light-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-1024,R04,/billing,light,1024,768,1024x768,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-1024x768.png,evidence/user-pages-matrix/R04-billing-light-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-768,R04,/billing,light,768,1024,768x1024,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-768x1024.png,evidence/user-pages-matrix/R04-billing-light-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-390,R04,/billing,light,390,844,390x844,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-390x844.png,evidence/user-pages-matrix/R04-billing-light-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-light-430,R04,/billing,light,430,932,430x932,账单入口重定向,evidence/user-pages-matrix/R04-billing-light-430x932.png,evidence/user-pages-matrix/R04-billing-light-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-1672,R04,/billing,dark,1672,941,1672x941,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-1672x941.png,evidence/user-pages-matrix/R04-billing-dark-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-1440,R04,/billing,dark,1440,900,1440x900,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-1440x900.png,evidence/user-pages-matrix/R04-billing-dark-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-1366,R04,/billing,dark,1366,768,1366x768,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-1366x768.png,evidence/user-pages-matrix/R04-billing-dark-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-1024,R04,/billing,dark,1024,768,1024x768,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-1024x768.png,evidence/user-pages-matrix/R04-billing-dark-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-768,R04,/billing,dark,768,1024,768x1024,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-768x1024.png,evidence/user-pages-matrix/R04-billing-dark-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-390,R04,/billing,dark,390,844,390x844,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-390x844.png,evidence/user-pages-matrix/R04-billing-dark-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R04-dark-430,R04,/billing,dark,430,932,430x932,账单入口重定向,evidence/user-pages-matrix/R04-billing-dark-430x932.png,evidence/user-pages-matrix/R04-billing-dark-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
