ID,路径,源码入口,身份/分组,执行卡,必测状态,document.title实际值,主要标题实际值,重定向/不适用说明,状态,证据,默认页面标题期望,主要标题期望规则,配色依据,配色验收A17,配色证据
R11,/drama,web/src/app/(user)/drama/page.tsx,登录用户,T16,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,短剧项目 | dreamyo,短剧项目,,IN_PROGRESS,evidence/user-pages-matrix/R11-drama-light-1672x941.png; evidence/user-pages-matrix/R11-drama-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,短剧项目 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R12,/help,web/src/app/(user)/help/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,帮助中心 | dreamyo,从操作到交付，按真实流程完成创作,,IN_PROGRESS,evidence/user-pages-matrix/R12-help-light-1672x941.png; evidence/user-pages-matrix/R12-help-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,帮助中心 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R13,/image,web/src/app/(user)/image/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,创作工作台 | dreamyo,从灵感，到完整作品,,IN_PROGRESS,evidence/user-pages-matrix/R13-image-light-1672x941.png; evidence/user-pages-matrix/R13-image-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,图片生成（若真实重定向则核目标） | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R14,/me,web/src/app/(user)/me/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,我的账户 | dreamyo,E2E 管理员,,IN_PROGRESS,evidence/user-pages-matrix/R14-me-light-1672x941.png; evidence/user-pages-matrix/R14-me-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,我的账户 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R15,/my-prompts,web/src/app/(user)/my-prompts/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,我的提示词 | dreamyo,我的提示词,,IN_PROGRESS,evidence/user-pages-matrix/R15-my-prompts-light-1672x941.png; evidence/user-pages-matrix/R15-my-prompts-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,我的提示词 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R16,/profile,web/src/app/(user)/profile/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,个人资料 | dreamyo,个人中心,,IN_PROGRESS,evidence/user-pages-matrix/R16-profile-light-1672x941.png; evidence/user-pages-matrix/R16-profile-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,个人资料 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R17,/prompts,web/src/app/(user)/prompts/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,提示词库 | dreamyo,提示词库,,IN_PROGRESS,evidence/user-pages-matrix/R17-prompts-light-1672x941.png; evidence/user-pages-matrix/R17-prompts-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,提示词库 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R18,/video,web/src/app/(user)/video/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,创作工作台 | dreamyo,从灵感，到完整作品,,IN_PROGRESS,evidence/user-pages-matrix/R18-video-light-1672x941.png; evidence/user-pages-matrix/R18-video-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,视频生成（若真实重定向则核目标） | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R19,/works,web/src/app/(user)/works/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,我的作品 | dreamyo,作品管理,,IN_PROGRESS,evidence/user-pages-matrix/R19-works-light-1672x941.png; evidence/user-pages-matrix/R19-works-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,我的作品 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R20,/admin/billing,web/src/app/admin/billing/page.tsx,管理员,T17,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,财务管理 | dreamyo,财务钱包,,IN_PROGRESS,evidence/admin-entry-matrix/R20-admin-billing-light-1672x941.png; evidence/admin-entry-matrix/R20-admin-billing-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,财务管理 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R21,/admin/generation-operations,web/src/app/admin/generation-operations/page.tsx,管理员,T17,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,管理后台 | dreamyo,生成运维,,IN_PROGRESS,evidence/admin-entry-matrix/R21-admin-generation-operations-light-1672x941.png; evidence/admin-entry-matrix/R21-admin-generation-operations-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,生成运维 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R22,/admin,web/src/app/admin/page.tsx,管理员,T17,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,管理后台 | dreamyo,经营看板,,IN_PROGRESS,evidence/admin-entry-matrix/R22-admin-light-1672x941.png; evidence/admin-entry-matrix/R22-admin-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R23,/admin/setup,web/src/app/admin/setup/page.tsx,管理员,T17,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,后台初始化 | dreamyo,把站点配置到可以上线运营,,IN_PROGRESS,evidence/admin-entry-matrix/R23-admin-setup-light-1672x941.png; evidence/admin-entry-matrix/R23-admin-setup-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,后台初始化 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R24,/announcements,web/src/app/announcements/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,网站公告 | dreamyo,网站公告,,IN_PROGRESS,evidence/user-pages-matrix/R24-announcements-light-1672x941.png; evidence/user-pages-matrix/R24-announcements-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,网站公告 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R25,/forgot-password,web/src/app/forgot-password/page.tsx,匿名,T14,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,找回密码 | dreamyo,重置密码,,IN_PROGRESS,evidence/user-pages-matrix/R25-forgot-password-light-1672x941.png; evidence/user-pages-matrix/R25-forgot-password-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,找回密码 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R26,/gallery,web/src/app/gallery/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,作品广场 | dreamyo,灵感发现,,IN_PROGRESS,evidence/user-pages-matrix/R26-gallery-light-1672x941.png; evidence/user-pages-matrix/R26-gallery-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,作品广场 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R27,/install,web/src/app/install/page.tsx,匿名,T14,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,dreamyo,把灵感，变成作品,,IN_PROGRESS,evidence/user-pages-matrix/R27-install-light-1672x941.png; evidence/user-pages-matrix/R27-install-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,安装向导 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R28,/login,web/src/app/login/page.tsx,匿名,T14,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,登录 | dreamyo,回到你的视觉创作台,,IN_PROGRESS,evidence/user-pages-matrix/R28-login-light-1672x941.png; evidence/user-pages-matrix/R28-login-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,登录 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R29,/,web/src/app/page.tsx,匿名,T09,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,dreamyo,把灵感，变成作品,,IN_PROGRESS,evidence/user-pages-matrix/R29-home-light-1672x941.png; evidence/user-pages-matrix/R29-home-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,dreamyo（首页SEO另核metadata）,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R30,/privacy,web/src/app/privacy/page.tsx,匿名,T14,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,隐私政策 | dreamyo,隐私政策,,IN_PROGRESS,evidence/user-pages-matrix/R30-privacy-light-1672x941.png; evidence/user-pages-matrix/R30-privacy-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,隐私政策 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R31,/register,web/src/app/register/page.tsx,匿名,T14,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,注册 | dreamyo,从一个入口开始视觉创作,,IN_PROGRESS,evidence/user-pages-matrix/R31-register-light-1672x941.png; evidence/user-pages-matrix/R31-register-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,注册 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R32,/share/[slug],web/src/app/share/[slug]/page.tsx,匿名,T14,隔离fixture创建真实实体ID后进入详情；成功/空/失败/权限,作品分享 | dreamyo,矩阵公开作品 fc54bbcd,,IN_PROGRESS,evidence/user-pages-matrix/R32-share-light-1672x941.png; evidence/user-pages-matrix/R32-share-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,作品分享 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R33,/terms,web/src/app/terms/page.tsx,匿名,T14,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,服务条款 | dreamyo,服务条款,,IN_PROGRESS,evidence/user-pages-matrix/R33-terms-light-1672x941.png; evidence/user-pages-matrix/R33-terms-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,服务条款 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R34,/u/[username],web/src/app/u/[username]/page.tsx,匿名,T14,隔离fixture创建真实实体ID后进入详情；成功/空/失败/权限,创作者主页 | dreamyo,E2E 管理员,,IN_PROGRESS,evidence/user-pages-matrix/R34-profile-public-light-1672x941.png; evidence/user-pages-matrix/R34-profile-public-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,创作者主页 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A01,/admin?section=overview,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/经营分析,T18,经营看板：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,经营看板,,IN_PROGRESS,evidence/admin-sections-matrix/overview-light-1672x941.png; evidence/admin-sections-matrix/overview-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,经营看板,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A02,/admin?section=users,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/经营分析,T18,用户运营：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,用户运营,,IN_PROGRESS,evidence/admin-sections-matrix/users-light-1672x941.png; evidence/admin-sections-matrix/users-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,用户运营,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A03,/admin?section=logs,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/经营分析,T18,调用记录：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,调用记录,,IN_PROGRESS,evidence/admin-sections-matrix/logs-light-1672x941.png; evidence/admin-sections-matrix/logs-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,调用记录,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A04,/admin?section=generationOperations,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/经营分析,T18,生成运维：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,生成运维,,IN_PROGRESS,evidence/admin-sections-matrix/generationOperations-light-1672x941.png; evidence/admin-sections-matrix/generationOperations-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,生成运维,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A05,/admin?section=products,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/商品运营,T18,套餐管理：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,套餐管理,,IN_PROGRESS,evidence/admin-sections-matrix/products-light-1672x941.png; evidence/admin-sections-matrix/products-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,套餐管理,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A06,/admin?section=promotions,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/商品运营,T18,促销活动：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,促销活动,,IN_PROGRESS,evidence/admin-sections-matrix/promotions-light-1672x941.png; evidence/admin-sections-matrix/promotions-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,促销活动,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A07,/admin?section=coupons,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/商品运营,T18,优惠券：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,优惠券,,IN_PROGRESS,evidence/admin-sections-matrix/coupons-light-1672x941.png; evidence/admin-sections-matrix/coupons-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,优惠券,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A08,/admin?section=referrals,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/商品运营,T18,邀请奖励：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,邀请奖励,,IN_PROGRESS,evidence/admin-sections-matrix/referrals-light-1672x941.png; evidence/admin-sections-matrix/referrals-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,邀请奖励,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A09,/admin?section=orders,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/商品运营,T18,订单管理：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,订单管理,,IN_PROGRESS,evidence/admin-sections-matrix/orders-light-1672x941.png; evidence/admin-sections-matrix/orders-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,订单管理,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A10,/admin?section=points,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/财务管理,T18,积分规则：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,积分规则,,IN_PROGRESS,evidence/admin-sections-matrix/points-light-1672x941.png; evidence/admin-sections-matrix/points-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,积分规则,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A11,/admin?section=payments,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/财务管理,T18,支付渠道：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,支付渠道,,IN_PROGRESS,evidence/admin-sections-matrix/payments-light-1672x941.png; evidence/admin-sections-matrix/payments-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,支付渠道,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A12,/admin?section=cdk,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/财务管理,T18,CDK 兑换：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,CDK 兑换,,IN_PROGRESS,evidence/admin-sections-matrix/cdk-light-1672x941.png; evidence/admin-sections-matrix/cdk-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,CDK 兑换,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A13,/admin?section=wallet,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/财务管理,T18,财务流水：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,财务流水,,IN_PROGRESS,evidence/admin-sections-matrix/wallet-light-1672x941.png; evidence/admin-sections-matrix/wallet-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,财务流水,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A14,/admin?section=site,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,站点资料：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,站点资料,,IN_PROGRESS,evidence/admin-sections-matrix/site-light-1672x941.png; evidence/admin-sections-matrix/site-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,站点资料,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A15,/admin?section=channels,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,模型渠道：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,模型渠道,,IN_PROGRESS,evidence/admin-sections-matrix/channels-light-1672x941.png; evidence/admin-sections-matrix/channels-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,模型渠道,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
